你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
希望我不讓你難過	OOOOMOOO
	
最近我有很多功課	OOOOOOOO
除了功課以外	OOOOOO
家的事也很忙	OROOOO
常常忘了時間吃飯	OOOOWWWW
	
因為現在有很多人沒有工作	OOOOOOOOOOOO
你很棒啊	MOOO
希望你應該好好的工作啊	OOOSSOOSOOO
	
今天我不能去慶祝會	OOOOOOOOO
真的對不起	OOOOO
因為我明天要很重要的考試所以不能參加	OOOOOSOOOOOOOOOOOO
	
下次讓我聽你的話	OOSSSSSS
身體健康敬祝	WWWWWW
	
因為	MO
我去法國四	OMOOO
五天	OO
所以我不能去	OOOOOO
對不起	OOO
	
我覺得下個月比較好	OOOOOOOOO
沒有這個月這麼忙所以下	OOOOOOOORRR
	
因為那天我有事情	OOOOOOOO
得到台中了	OOOOM
所以我不能來跟你	OOOOOORR
	
你找到工作	MOOOO
恭喜恭喜	OOOO
	
我慶祝會不能參加	OWWWWWWW
真的不好意思	OOOOOO
因為我跟父母要一起出去	OOOWWWWOOOO
所以沒有時間	OOOOOO
	
林美美小姐	OOOOO
恭喜你	OOO
我很開心聽到你開始工作	OOOOOOOOOOO
我一定要參加恭喜你的會	OOOOOOOOOOS
	
那天	OO
我要到美國去見美國的客戶	OOOOOOOOOOOO
那個是真的重要的工作	OOWWWMOOOO
所以	OO
我不能參加	OOOOO
對不起	OOO
	
我想參加你的慶祝會	OOOOOOOOO
可是那天我打算跟我爸爸、媽媽一起去旅行	OOOOOOOOOOOOOOOOOOO
所以不能去	OOSSS
真對不起	OOOO
	
我最近工作的很忙	OOOWWWOO
一天也不能休息	OOOOOOO
可惜我不能參加你的慶祝會	OOOOOOOOOOOO
	
其實我很想去看看你們那兒	OOOOOOWWWWWW
那麼放暑假的時候我一定去	OOOOOOOOOOOM
	
你慶祝會的時候	OMOOOOO
你好好兒地熱鬧熱	OMOOOSSS
	
我聽說你最近找到一份工作	OOOOOOOOOOOO
我為你很高興	OWWWOO
你又聰明又用功	OOOOOSS
所以我知道你一定找到很好的工作	OOOOOOOOMOOOOOO
	
雖然我想	OOOO
可是我不能參加你的祝會	OOOOOOOOOSS
現在我很忙	SSOOO
下個星期我有很多考試	OOOOOOOOOO
	
考試完了以後我會跟你見面	OOOOOOOOOOOO
我一完了考試	OOMOOO
就回家	OOO
	
昨天才收到了你的信	OOOOOROOO
歡迎我們來你家的會	OOOOSOOOS
我很高興你有了這個很好的機會	OOOOOOROOOOOOO
	
我這個星期已經約好了	MOOOOOOOOO
所以不能來參加你的會	OOOOSOOOOS
真麻煩你了	OMOOO
	
我聽過	OSR
你找到工作了	OOOOOO
我很高興聽這件事	OOOOMOOO
是因為現在找工作不容易	SSSOOOOOOOO
	
對不起	OOO
我不能參加你開的慶祝會	OOOOOOOOOOO
因為我有事情	OOOOOO
但是我一定送給你一把很大的花	OOOOOMOOOOOOOO
	
可是	OO
我最近很忙	OOOOO
所以我不能參加你的慶祝會	OOOOOOOOOOOO
對不起	OOO
我真的可惜喔	ROOOOO
	
我聽說你最近找到工作	OOOOOOOOOO
恭喜	OO
恭喜	OO
我知道你明天想開晚會	OOOOOOOOSS
可是我不能參加	OOOOOOO
	
現在我們很難找工作了	OOOOOOOOOR
所以請你好好兒的工作	OOOOOOOSOO
	
我本來要參加這個會的	OOOOOOOOSO
可是我今天有一點兒事情一定要做完	OOOOOOOOOOOOOOOO
	
所以我寫這一張卡送給你的	OOOOOOOSOOOR
如果有時間我再打個電話給你慶祝吧	OOOOOOOOOOOOOOOO
	
現在工作越來越難找	OOOOOOOOO
可是你很快得找到了	OOOOOSOOO
我希望你很愛你的新工作	OOOOOOOOOOO
	
慶祝妳找到了工作	SSOOOWWW
最近找到了工作越來越難	OOMOWWWWWWW
所以我也很高興	OOOOOOO
	
因為我打算去美國留學	OOOOOOOOOO
慶祝會的時候我已經在美國	MOOOOOOOOOOO
請原諒我	OOOO
	
決定了我的家	MOOOOO
就給妳打電話	OOOOOO
	
謝謝你請我參加慶祝會	OOOOOOOOOO
我知道你開的那個慶祝會很有意思	OOOOOOOOOOOOOOO
有很多朋友來	MOOOOO
我很想參加	OOOOO
可是我最近忙得不得了	OOOOOOOOOO
	
我們應該打算改天一起出去別的地方放玩兒	OOOORROOOOOOOOOOROO
有空的時候	OOOOO
就打電話給你	OOOOOS
	
但是我不能參加因為我得去台南看見我父母	OOOOOOOOOOOOOOSSOOO
我真的要去你的舞會	OOOSOOOOO
真的對不起呢	OOMOOO
	
恭喜恭喜	OOOO
妳找到好好的工作了	OOOSSOOOO
我希望妳喜歡這份工作	OOOOOOOOOO
	
本來我計畫參加你的祝慶會	OOOOOOOOOSSS
可是那天我感冒了	OOOOOOOO
所以我先去看醫生	OOOOOOOO
再去你的祝慶會	OOOOSSS
可是醫生說	OOOOO
我得休息	OOOO
所以我不能參加了	OOOOOOOO
	
這個男孩子早上六點半起床	OOOOOOOOOOOM
馬上就去上學了	OOOOOOO
	
他們下了課以後	OOOOOOO
就坐公車到電影院去了	OOOOOOOOOO
他們在公車裡面就決定要看哪種電影	OOOOOOOOOOOOOSOO
所以一到電影院	OOOOOOO
就買了影票進去裡面找位子	OOOSSOOOOOOO
	
他朋友跟他說了	OOOOOOO
他今天覺得很開心	OOOOOOOO
下次再約她	OOMOO
男孩子開心得不得了	OOOOOOOOO
笑著笑著回家	SSSSOO
	
我每天六點三十分起來	OOOOOOOOOO
起來以後	OOOO
就馬上洗澡了	OOOOOR
	
八點二十分坐公共汽車到學校去	OOOOOOOOOOOOOO
就看書	OMO
	
在學校念書的時候	OOOOOOOO
我很多努力	OOROO
是因為我最喜歡看書	ROOOOOOOO
但是有的時候	OOOOOO
跟朋友聊半天	OOOORO
	
他平常起床七點鐘	OOOWWWWW
因為他明天沒洗澡所以他起一點床了	OOOSSOOOOOOMWWOO
	
昨天他寫很多功課所以今天他很累	OOOOMOOOOOOOOOO
	
他在學校念著書的時候他跟林美美說話	OOOOOROOOOOOOOOOO
今天林美美要做什麼	MWWWWOOOO
所以他們打算一起去看電影	OOOOOOOOOOOO
	
在公車張愛文問林美美要吃什麼東西	OOOMOOOOOOOOOOOO
林美美想吃義大利麵所以到家他們去吃義大利麵的餐廳	OOOOOOOOOOOOMOOMOOOOOOOO
	
八點鐘他們到看電影的地方	OOOOOOOOOOOO
林美美想看最新的電影所以他們看一個新的美國電影	OOOOOOOOOOOOOOOMOOOOOOO
	
今天張愛文很忙	OOOOOOO
做了多事	OOMO
	
八點鐘他到學校	OOOOOOO
八點半上課	OOOOO
他跟林美美坐在教室前	OOOOOOOOOS
	
公車沒有空的椅子	OOMOOOOO
都有大人跟小孩子	OOOOOOOO
公車沒有空的椅子沒關係	OOOOOOOOOOO
他們站著就好了	OOOOOOO
	
在電影院的人很多	OOOOMOOO
都要看最新的電影	OOOOOOOO
	
他們看了新電影就高興	OOOOOOOOMO
是因為新電影真的很好看也很有興趣	ROOOOOOOOOOOOSSS
	
新電影看完了以後	OOOOOOOO
張愛文跟林美美一起到他們最喜歡的餐廳車吃晚飯	OOOOOOOOOOOOOOOOSSSOOO
他們都有很好的天	OOOOOOOM
	
張愛文住在台北	OOOOOOO
他是十六歲	OROOO
	
每天有很多課	MOOOOO
張愛文很用功	OOOOOO
	
他們坐公車去西門	OOOOOOOO
從學校到西門去	OOOOOOO
差不多二十分鐘	OOOOOOO
他們在公車聊天	OOOOOMO
	
西門有很多餐廳	OOOOOOO
個個都很好吃	SSOOOO
	
吃了飯以後他們去看電影	OOOOOOOOOOO
他們看到一個美國的電影	OOSSMSOOOOO
愛文覺得不錯可是美美不太喜歡	OOOOOOOOOOOOOO
她覺得一點奇怪	OOOMOOO
	
可是我今天在數學課的時候幫一個同學的忙	OOOOOOMOOOOOOMOOOOO
她的名字是林美美	OOOOOOOO
她漂亮的沒話說	OOOSOOO
	
除了那麼漂亮之外	OOOOOOOO
也有魅力	OMOO
因為沒有一個男生不喜歡她	OOOOOOOOOOOO
我以為她不會跟我約	OOOOOOOOS
	
我們在公車的時候	OOOMOOOO
她過來到我的旁邊	OSSOOOOO
讓我緊張得不得了	OOOOOOOO
	
我跟她去最好電影院	OOOOMOMOO
那個地方天天都熱鬧極了	OOOOOOOOOOO
其實有的時候你還可以跟一個明星碰到	OOOOOOOOOORRRWWWW
我們看了一部卡通的電影	OOOOOOOOROO
	
現在我已經回家了	OOOOOOOO
躺在床上在想	OOOORO
難道我的美夢成為真的呢？	OOOOOOOOOOMO
在家吃了早飯	OOOOOO
我就到學校坐公車去	OOWWWWWWW
	
今天我上了一個數學的課	OOOOOOSOORO
我跟我旁邊坐的同學喜歡念數學	OOWWWWOOOMOOOO
所以上課的時候	OOOOOOO
我們常常討論怎麼解決數學的問題	OOOOOOOOOOOOOOO
	
我的女朋友跟我說最近有她朋友推薦的電影	OOOOOOOOOOOOOOOOOOO
所以我們決定在我們家附近的電影院看那個電影	OOOOOOOOOOOOOOOOOOSOO
那個電影很好看	OSOOOOO
我明天推薦我的同學看這個電影	OOOMOOOOOOOSOO
	
平常我起得很晚	OOOOOOO
可是今天早上我七點半起床	OOOOOOOOOOMO
是因為今天我跟林美美有一個約會	SSSOOOOOOOOOOOO
	
上課的時後我很用功	OOOOOOOOO
是因為他的位子就是我的後面	SSSOOOOOSOOOO
	
下課以後我跟美美一起坐公車	OOOOOOOOOOMOO
我們在公車裡一直說話	OOOOOOOOOO
對我來說	OOOO
只有看她也很高興	OROOMOOO
	
那部電影又好看又意思	OOOOOOOOMO
難怪很多人很想看那部電影	OOOOOOOOOOOO
看電影以後我送她回家	SOOOOOOOOO
	
今天對我來說過得很快	OOOOOOOOOO
還有很有意思	SSOOOO
我覺得我不能忘了今天	OOOOOOOOOO
	
數學班上他的同學包括林美美	SSSOOOOOOOOOO
張愛文當然很高興再見到她	OOOOOOOOOOOO
對她真有興趣	MOSOOO
	
到了電影場以後	OOSSSOO
張愛文買了兩張電影票	OOOOOOOOOO
把一張給林美美了	OOOOOOOR
他們都欣賞了這場電影	OOOOOOOOOO
讓他們都感到高興的才是在一起	OOOOOOOOOROOOO
	
林美美今天要去上課	OOOOOOOOO
她有上課的時候	OROOOOO
她的習慣是每天六點半起床	OOOOOOOOOOOO
	
上課的時候	OOOOO
林美美跟張愛文說：「我想要看一部電影	OOOOOOOOOOOOOOOOOO
所以今天下了課以後	OOOOOOOOO
跟妳一起去看電影嗎？聽說那部電影很有意思	ROMOOOOOOOOOOOOOOOOO
」	O
	
他是高中他從８點半開始上課	OOSSOOOOOOOOO
內容是數學	OOOOO
他是很用功的人	OOOOOOO
所以很聰明	OOOOO
	
每天他跟同學教數學	OOORWWWOO
他對同學很客氣	OOOOOOO
	
下了課以後	OOOOO
為了看電影	OOMOO
張愛文跟林美美從台北車站坐公共汽車到古亭車站去了	OOOOOOOOOOOOOOOOOOOOOOOO
	
張愛文跟林美美是從小時候認識的老朋友	OOOOOOOOOOOOMOOOOO
可是最近變成戀人了	OOOOOOOOO
	
他說：「因為我今天跟美美約會	OOOOOOOOOMOOOO
高興得早醒過來了	OOOMMOOO
」	O
到電影院以後	OOOOOO
他們決定看甚麼電影	OOOOOOOOO
買票跟飲料	MOOOO
	
那部電影很熱門	OOOOOOO
所以馬上客滿了	OOOOMOO
幸好他們早到電影院	OOOOOMOOO
要不然不能買票	OOOSSSO
	
早上的第三節課張愛文想告訴她	OOOOOOOOOOOOOO
可是每次正要開始說話	OOOOOOOOOO
他變得害羞得一句話都不能說	OOOOOOSSSSSSS
	
終於數學科時到了	OOSSSSOO
林美美坐在他的旁邊	OOOOOOOOO
張愛文想了：「如果我現在不告訴她	OOOOROOOOOOOOOOO
我沒有別的機會	OMOOOOO
」	O
所以他不想著突然大聲地說：「林美美我喜歡你	OOORRROOOOOOOOOOOOOOO
」全班笑起來了	OOOOWWW
可是林美美說了她也喜歡張愛文	OOOOOOROOOOOOO
	
不久她們到電影館	OOOOOSSS
張愛文買了票、可樂	OOOOOOOOO
和巧克力然後他們進去電影場	OOOOOOOOOOSSS
	
他們看了一個很可愛的電影	OOOOOSOOOOOO
一個小雞一個人去火星	OSOOOOOOMO
	
今天我早上六點半起床	OOOOOOOOOO
我起了床	OOOO
記得今天我跟林美美下了課再跟她一起去看電影	SSOOOOOOOOOOSRROOOOOO
所以今天我特別高興	OOOOOOOOO
	
今天在上課學到最難的課	OOOOOMOOOOM
我跟別的同學也覺得本來是這樣	OOOOOOOOOSSOOO
我的同學不太懂	OOOOOOO
正好我昨天剛才念這個問題	OOOOOSSOMOOO
所以把他不懂的問題再教給他	OOOOOOOOOOORO
	
現在快下課了	OOOOOO
跟林美美見面我真的緊張	OOOOOOOMSOO
因為這次是第一次跟她約會	OOOOOOOOOOOO
	
啊	O
下課了	OOO
我馬上去學校門口等他了	OMOOOOOOOOO
	
下公車的時候	OOOOOO
時間快到了	OOOOO
我們只好買吃的東西再馬上去電影院	OOOOOMOOOSOOOOOO
那個電影很有趣	OOOOOOO
也很好玩	OOOO
	
在學校跟同學一起學數學	OOOOOOOOOOO
因為愛文不喜歡數學	OOOOOOOOO
所以跟朋友一直聊天了	OOOOOOOOOR
	
他們坐公車去電影院	OOOOOOOOO
他們看了電影是很可愛的故事	OOOSOOOOOOOOO
	
看了完以後他們去吃晚飯	OROOOOOOOOO
他們過了很開心的時間	OOOOOOOOOO
	
昨天六點半我是起床的	OOOOOOROOR
每天起床的時候我很累	OOOOOOOOMO
我不喜歡起床	OOOOOO
我每天吃了早飯	OOOOOOO
就上課	OMO
	
一個同學從美國來	OOOOOOOO
所以我昨天跟他說了英國的話	OOOOOOOOOSSSS
要是我們上課的時候說話	OOOOOOOOOOO
我的老師說對我們：「現在不必說話	OOOOMWWWOOOOOSOO
」	O
下了課我昨天在學校的門口是等我女朋友的	OOOOOOOOOOOOROOOOOR
她叫美美	OOOO
我一定覺得她很好看	ORROOOOOO
	
我們從學校坐公車到一間飯館兒一起去	OOWWWWWWWWWWWWWWO
我覺得坐公車很方便	OOOOOOOOO
	
張愛文起床每天六點半	OOOWWWWWWW
今天的天氣很好和不怎麼熱	OOOOOOOSOOOO
我起床的時候	SOORSS
吃早飯	OOO
	
張愛文坐公共汽車去學校	OOOOOOOOOOO
只有十分鐘就到了	OSOOOOOO
	
然後	SS
她回家七點	OWWWW
有的時候寫功課	OOOOOOO
有的時候看電視	OOOOOOO
	
王大好是在大安大學的學生	OOOOROOOOOOO
他有一個女朋友叫林美美	OOOOOOOOOOO
兩個都有一樣的班課	OOMOOOORO
	
下課以後了	OWWWW
他們兩個坐公車一起去電影院	OOOOOOOOOOOOO
電影院是在大安電影院	OOOOROOOOO
	
到了教室就上課了	OOOOOSSO
我覺得很緊張	OOOOOO
可是昨天晚上我已經念書念得很好	OOOOOOOOORRSOOO
所以現在我考試考得很好	OOOOOOOOOOO
	
我們從學校門口等公車	OOSOOOOOOO
公車快到了	OOROO
我們馬上上車	OOOOOO
	
一天完了	OOSO
看起來	OOO
今天是最好的事情	OOOOOOSS
一天很有意思	OMMOOO
我覺得很喜歡	OOOOSS
	
因為我很愛我朋友	OOOOOOSS
她也很可愛	OOOOO
	
他常常去上課的時候	OOOOOOOOO
坐公車	OOO
可是今天有時間	OOOOOOO
所以他走路去學校	OOOOOOOO
	
他們有一個問題	OOOOOOO
所以問老師	OOOOO
老師回答他們	OOOOOO
就了解了	OOOO
	
然後他跟林美美一塊兒去看電影	OOOOOOOOOOOOOO
他們看一種感動片	OOSSSSSS
所以林美美很感動	OOOOOOOO
	
他很喜歡數學	OOOOOO
他覺得在黑板寫著問題很簡單	OOOOOOMOMOOOO
可是	OO
他的同學覺得很難	OOOOOOOO
	
同學跟愛文說了：「請你幫我解那個問題	OOOOOOROOOOOOOOOOO
」所以	OOO
他教了給同學	OORROO
	
下課以後	OOOO
他跟林美美一起坐公車了	OOOOOOOOOOR
然後	OO
他們去看電影	OOOOOO
	
我做功課的時候	OSOOOSS
吃早飯	OOO
	
我剛來學校的時候	OOSOOOOO
林美美請我幫她做她的功課	OOOOOOOOOOOO
	
下課的時候	OOOOO
林美美對我說	OOOOOO
「我們做了功課以後	OOOOOOOOO
可以去看電影好不好？」我告訴她我要去	RROOOOOOOOOOOOOOOO
	
因為她很聰明	OOOOOO
我只做半個鐘頭的功課	MOOMOOOOOO
	
然後我們去看電影	OOOOOOOO
我們決定看一個美國的電影	OOOOOOSOOOOO
因為它好像很好看	OOOOOOOO
	
看電影以後	SOOOO
我們都回家了	OOSOOO
我希望她喜歡我	OOOOOOO
	
今天張愛文早上六點半就起床	OOOOOOOOOOOOO
然後去學校上課	OOOOOOO
	
在學校	OOO
因為他很用功	OOOOOO
常常坐最前面的椅子	OOSOOOOOO
	
到了電影館	OOSSS
他們都坐了最後的椅子	OOOSOOOOOO
	
美美從很長時間以前要看這個電影	OOOSSSSOOMOOSOO
所以她很高興	OOOOOO
可是愛文對這種電影沒有興趣	OOOOOOOOOOOOO
所以他睡覺了	OOOSSO
	
今天我六點半起來了	OOOOOOMOO
天氣很涼	OOOO
真舒服	OOO
	
我跟他說我今天有事	OOOOOOOOO
明天下課了以後	OOOOOOO
我就跟他做功課了	OSOOOOOR
	
今天早上六點半	OOOOOOO
張愛文起床	OOOOO
	
吃飽了以後	OOOOO
他拿他的書包	OOMOOO
因為他得上課	OOOOMO
	
下課以後	OOOO
他坐公共汽車	OMOOOO
	
愛文問她現在有沒有事	OOOOOOOOOO
美美說她沒有	OOOOOO
所以愛文請她去看一部電影	OOOOOOMOOOOO
美美說：「好吧	OOOOOOO
有一部電影我很要看	OOOOOOOSO
我們去看	OOOO
」	O
	
下公車以後	OMOOO
他們去看一部美國電影	OOOOMOOOOO
美美最喜歡這部電影	OOOOOOOOO
她覺得電影很有意思	OOOOOOOOO
很好看	OOO
愛文就覺得那部電影還不錯	OOSOOOOOOOOO
	
因為他的家離他的學校有點兒遠	OOOOOOOOOOOOOO
所以他得早起床	OOOOOMO
	
他的學校很辛苦	OSOOOOO
他每天都有很多功課	OOOOOOOOO
	
上課的時候他跟林美美談一談	OOOOOOOOOOSSS
因為今天是星期五他們有空兒	OOOOOOOOOOMOO
所以愛文跟美美打算在一起下課以後去看電影	OOOOOOOOOOWWWWWWOOOO
	
他們決定看Ｗａｌｌ－Ｅ	OOOOOOOOOOO
他們不但聽說這是很有意思的電影	OOOOOOOOOOOOOOO
而且美美對外國電影有興趣	OOOOMOOOOOOO
他們很喜歡Ｗａｌｌ－Ｅ	OOMOOOOOOOO
	
我每天六點半起床	OOOOOOOO
每天得上課	OOOOO
可是我不太喜歡早起床	OOOOOOOMOO
	
他問我：「下了課打算做什麼？」	OOOOOOOOOOOOOOO
我就回答這個是我的秘密	OOOOOOOOOOO
所以不要告訴她	OOOSOOO
	
他再一次問我	OSWWWW
也看起來他很希望知道	ROOOOOSSOO
所以我說我跟高美美約好了去看電影	OOOOOOOOOOOOMOOO
我也告訴他不能給別人聽這個秘密	OOOOOOOSOOSOOOO
媽媽會生氣得不得了	OOOOOOOOO
	
我們叫了一輛公車	OOSOOOOO
然後到了電影院就下了車	OOOOOOOOOOO
	
我們都很喜歡看電影	OOOOOOOOO
可是我們可能不喜歡一樣的電影	OOOOOOOMOOOOOO
所以決定了要看一個比較短的	OOOOROOOOOOOO
看完了我們都覺得很有意思	OOOOOOOOOOOO
	
每天	OO
他六點半就醒來	OOOOOOO
要不然一定上課遲到了	OOOWWWWMOR
	
他馬上準備上學	OOOMSOO
一吃早飯	OSOO
就出門去了	OOOOO
	
下了課以後	OOOOO
他平常馬上回家	OOOOOOO
開始做功課	MOOOO
	
可是	OO
今天是星期五	OOOOOO
他想跟一個朋友輕鬆一下	OOOOOOOMOOO
	
小美是小華最好的朋友	OOOOOOOOOO
他們才六歲就認識了	OOROOOOOO
	
那部電影真的很好看	OOOOOOOOO
他們覺得很高興	OOOOOOO
看完了以後	OOOOO
他們回去了	OOOOO
他們決定下個星期五再看另外一個電影	OOOOOOOOOOMOOOSOO
	
他總是坐公車去學校	OOOOOOOOO
來學校以後	SOOOO
他跟同學聊談	OOOOSS
	
到了電影院	OOOOO
他們先得去買電�票	OOWWOOOOO
然後才可以走進去	OOOOOROO
	
他們看很有趣的電影	OOOMOOOOO
因為大家看著看著笑起來了	OOOOOOOOOOOO
	
我去學校	OOMO
跟同學上數學課	OOOMOOO
	
林美美是我的好好朋友	OOOOOOSSOO
美美告訴我：「我們做什麼？」	OOSSOOOOOMOOOO
這部電影是美國漫畫的電影	OOOOOOOOOOOO
再說很有名	OOOOO
所以在電影院裡人太多了	OOOOOOOOSOR
	
我覺得這部電影又有意思又感動	OOOOOOOOOOOOMO
最後的時候	OORRR
美美哭起來了	OOOOOO
	
我們對這部電影很滿意	OOMOOOOOOO
如果有機會的話	OOOOOOO
我要再來看一次	OOOOOOO
	
他吃完早飯就馬上坐公車到學校出	OOOOOOOOOOOOOOS
然後跟同學一次上課	OOOOOSSOO
	
張愛文很聰明	OOOOOO
老師教他英文、地理什麼的	OOOOOOOOOOOO
他很快著明白了	OOORMOO
	
下了課以後	OOOOO
張愛文跟他的朋友林美美	OOOOOOOOOOO
一次坐公車到電影城看電影	SSOOOOSSSOOO
	
看完了	OOO
他們都覺得很累	OOOOOOO
所以他們都打算坐公車回家睡覺	OOOOOOOOOOOOOO
	
他們上課的時候一邊上課一邊談話	OOOOOOOOOOOOOSS
沒有聽老師說的話	OOOOOOOO
他們在談昨天的電視節目的事情	OOOSOOOOOOORRR
	
回到家以後	OOOOO
男孩子馬上換衣服出去	OOOOOSOOOO
他跟同學見面以後一起到電影院去了	OOOOOOOOOOOOOOOO
	
一個很累的男生上午六點半就起床	OOOOOOOOOOOOOOO
他平常現在起不來	OOOSSOOO
可是他知道他今天晚上跟他喜歡的女孩子一起去看電	OOOOOOOOOOMOOOOOOOOOOOS
所以他想好好得準備準備	OOOOOOSOOOO
	
上課的時候	OOOOO
他在這個女孩子的旁邊坐著呢	OOOOOOOOOOOOR
他們一起很興奮地聊聊天	OOOOOOOOOOO
都不關心老師說的話	OOOOOOOOO
	
下課以後	OOOO
他們一起坐公共汽車	OOOOOOOOO
可是汽車沒有空的椅子	OOSSMOOOOO
所以兩個都得站	OOOOMOO
	
張愛文今天起床六點半	OOOOOWWWWW
他喜歡早睡早起	OOOOOOO
因為他覺得健康是最重要	OOOOOOOOOOO
	
愛文比美美聰明得很	OOOOOOOOS
所以他常常教她數學跟英文	OOOOOOOOOOOO
	
電影真的不錯	OOOOOO
可是美美睡了半個小時	OOOOOOOOOO
所以內容都不清楚	OOWWWWWW
	
上課	OO
老師叫他在同學們前面站著做功課	OOOOOOOOOOOOOOO
因為他準備很好	OOOOOMO
所以他做得很好	OOOOOOO
讓老師很高興	OOOOOO
	
今天的電影很有意思	OOOOOOOOO
他們都喜歡	OOOOO
高興極了	OOOO
在路上回家他想今天是特別的天	OOOOOOOOOOOOOM
	
下了課就去看他在學校對面的公車站	OOOORSOOOOOOOOOO
我覺得他越來越漂亮	OOOOOOOOO
	
我們買電影票了	OOOWWWW
就去看電影	OOOOO
我真的覺得那個電影很有意思	OOOOOOSOOOOOO
	
看完電影了	OOOOO
她跟我說：「電影很好看	OOOOOOOOOOO
可是我比電影好看」	OOOOOOOOO
我聽過她說得話了	OOSOOSOR
我高興的不得了	OOOSOOO
	
我到了學校	OOOOO
學很多的課	SMOOO
英文、中文什麼的都有	OOOOOOOOOO
	
有一個課	OOSO
老師給我很難的問題	OOSOOOOOO
可是昨天我念書念得很多	OOOOOOOOOOO
所以我會回答他的問題	OOOSOOOOOO
老師說我很用功讓我非常高興	OOOOOOOOOOOOO
	
下了課	OOO
我要回家	OOOO
可是在公車上的時候	OOOOOOOOO
我看見我的朋友	OOOOOOO
所以我進去跟她說話	OOOSSOOOO
	
說著說著	OOOO
就要看電影	MSOOO
所以我問我的朋友她要跟我一起去看電影嗎？她說她有一張電影要看	OOOOOOOOOOOOOOOOOOOOOOOOOSOOSO
所以我們一起去看電影	OOOOOOOOOO
	
他每天坐在最前面的椅子	OOOOOOOOOSS
因為他很喜歡念書還有他很喜歡跟老師說話	OOOOOOOOOOOOOOOOOOO
	
他的女朋友也在這所學校念書	OOOOOOOOOOOOO
她姓林美美	OSOOO
林妹妹比張愛文小一年所以他們不是同學	OOOOOOOOOSOOOOOOOO
	
我今天六點半起床馬上去洗澡	OOOOOOOOMOOOO
洗澡完以後去吃早餐	OWWOOOOOO
吃完早餐就去學校	OOOOOOOO
	
因為我們看電影看到很晚	OOOOOOOOOOO
女生一個人回家不太好	OOOOOOOOOO
所以我去送林美美回家我才回家	OOOROOOOOOMOOO
	
上課的時候	OOOOO
他很用功	OOOO
也他的成績非常好	SOOOOOOO
所以同學常常問他很難的問題	OOOOOOOOOOOOO
那個時候	OOOO
他會說明很明白	OOOOMSS
所以同學很喜歡他的說明	OOOOOOOOOOO
	
下了課以後	OOOOO
他跟文美常常見面	OOOOOOOO
因為文美是他的好朋友	OOOOOOOOOO
他們是以前的同學	OOWWWROO
	
今天早上我起床六點半	OOOOOWWWWW
	
我應該先洗澡	OOOOOO
我再去上課	ROOOO
	
上課時候	OOOO
我坐在她的旁邊	OOOOOOO
我沒聽到老師的說話因為我一直想晚上的約會	OOOOOOWWOOOOOOOOOOOO
	
我要過跟他談談	OSROOOO
可是老師告訴我「別說了	OOOOOOOOOOO
」林美美只笑我	OOOOSOO
	
下了課以後	OOOOO
